
Язык	ISO 639-1	ISO 639-2	ISO 639-3	ГОСТ 7.75–97	Цифровой код
Японский	ja	jpn	jpn	япо	870
Яп	—	yap	yap	япа	868
Яо	—	yao	yao	яоа	867
Якутский (Саха)	—	sah	sah	яку	865
Яванский	jv	jav/jaw	jav	ява	860
Эфик	—	efi	efi	эфи	852
Эстонский	et	est	est	эст	850
Эсперанто	eo	epo	epo	эсп	845
Гренландский	kl	kal	kal	эсм	843
Эрзянский	—	myv	myv	эрз	835
Эламский	—	elx	elx	эла	834
Экаджук	—	eka	eka	эка	833
Эвондо	—	ewo	ewo	эво	832
Эвенский	—	—	eve	эвн	830
Эвенкийский (тунгусский)	—	—	evn	эвк	825
Эве	ee	ewe	ewe	эве	820
Шумерский	—	sux	sux	шум	817
Шугнанский	—	—	sgh	шуг	815
Шорский	—	—	cjs	шор	810
Шона	sn	sna	sna	шон	807
Шведский	sv	sve/swe	swe	шве	805
Шанский	—	shn	shn	шан	803
Чукотский	—	—	ckt	чук	800
Чувашский	cv	chv	chv	чув	795
Чоктав	—	cho	cho	чок	794
Чинук жаргон	—	chn	chn	чин	793
Чибча	—	chb	chb	чиб	792
Чжуанский	za	zha	zha	чжу	791
Чешский	cs	ces/cze	ces	чеш	790
Чеченский	ce	che	che	чеч	785
Чероки	—	chr	chr	чер	784
Шайенн (Чейенн)	—	chy	chy	чей	783
Чаморро	ch	cha	cha	чам	782
Чагатайский	—	chg	chg	чаг	781
Цыганский	—	rom	rom	цыг	780
Цимшиан	—	tsi	tsi	цим	778
Церковнославянский (Старославянский)	cu	chu	chu	цер	777
Цахурский	—	—	tkr	цах	775
Хупа	—	hup	hup	хуп	774
Хотанский	—	kho	kho	хот	773
Хиримоту	ho	hmo	hmo	хмо	772
Хинди	hi	hin	hin	хин	770
Хилигайнон	—	hil	hil	хил	762
Хауса	ha	hau	hau	хау	761
Хантыйский (остяцкий)	—	—	kca	хан	760
Хакасский	—	—	kjh	хак	755
Хайда	—	hai	hai	хай	753
Фулах	ff	ful	ful	фул	752
Фризский	fy	fry	fry	фри	750
Французский	fr	fra/fre	fra	фра	745
Фон	—	fon	fon	фон	743
Финский (Suomi)	fi	fin	fin	фин	740
Финикийский	—	phn	phn	фик	738
Фиджи	fj	fij	fij	фид	737
Фарерский	fo	fao	fao	фар	735
Фанти	—	fat	fat	фат	733
Фанг	—	fan	fan	фан	732
Урду	ur	urd	urd	урд	730
Умбунду	—	umb	umb	умб	727
Ульчский	—	—	ulc	уль	725
Украинский	uk	ukr	ukr	укр	720
Уйгурский	ug	uig	uig	уйг	715
Узбекский	uz	uzb	uzb	узб	710
Удэгейский	—	—	ude	удэ	705
Удмуртский (вотяцкий)	—	udm	udm	удм	700
Угаритский	—	uga	uga	уга	697
Туркменский	tk	tuk	tuk	тук	695
Турецкий	tr	tur	tur	тур	693
Тумбука	—	tum	tum	тум	692
Тувинский	—	tyv	tyv	тув	690
Тсонга	ts	tso	tso	тсо	689
Тсвана	tn	tsn	tsn	тсн	688
Трукский	—	—	chk	тру	687
Тонганский	to	ton	ton	тон	686
Тонга (Ньяса)	—	tog	tog	тог	685
Тлингит	—	tli	tli	тли	684
Тигринья	ti	tir	tir	тир	683
Тигре	—	tig	tig	тиг	682
Тиви	—	tiw	tiw	тив	681
Тибетский	bo	bod/tib	bod	тиб	680
Терено	—	ter	ter	тер	678
Темне	—	tem	tem	тем	677
Телугу	te	tel	tel	тел	675
Тви	tw	twi	twi	тви	670
Татарский	tt	tat	tat	тар	660
Тамильский	ta	tam	tam	там	655
Тамашек	—	tmh	tmh	тмш	653
Талышский	—	—	tly	тал	650
Таитянский	ty	tah	tah	тая	647
Тайский	th	tha	tha	таи	645
Таджикский	tg	tgk	tgk	тад	640
Тагальский	tl	tgl	tgl	таг	636
Филиппинский	fl	fil	fil	таг	636
Табасаранский	—	—	tab	таб	635
Сусу	—	sus	sus	сус	634
Сунданский	su	sun	sun	сун	633
Сукума	—	suk	suk	сук	632
Суахили	sw	swa	swa	суа	631
Старофранцузский	—	fro	fro	стф	630
Старотурецкий	—	ota	ota	стт	629
Старопровансальский	—	pro	pro	спр	628
Староперсидский	—	peo	peo	стп	627
Старонорвежский	—	non	non	стн	626
Староирландский	—	sga	sga	сти	625
Староверхненемецкий	—	goh	goh	свн	624
Староанглийский	—	ang	ang	ста	623
Среднефранцузский	—	frm	frm	срф	622
Среднеирландский	—	mga	mga	сеи	621
Средневерхненемецкий	—	gmh	gmh	срн	620
Среднеанглийский	—	enm	enm	сра	619
Сото южный	st	sot	sot	сот	618
Сото северный	—	nso	nso	сос	617
Сомали	so	som	som	сом	615
Согдийский	—	sog	sog	сог	613
Словенский	sl	slv	slv	слв	610
Словацкий	sk	slk/slo	slk	сло	605
Сирийский	—	syr	syr	сир	602
Синдхи	sd	snd	snd	снд	600
Сингальский	si	sin	sin	син	599
Сиксика	—	bla	bla	сик	598
Сидама	—	sid	sid	сид	597
Серер	—	srr	srr	срр	596
Сибирскотатарский	—	—	sty	сиб	594*
Селькупский	—	sel	sel	сел	590
Себуано	—	ceb	ceb	себ	587
Свази	ss	ssw	ssw	сва	584
Сардинский	sc	srd	srd	срд	583
Сапотекский	—	zap	zap	сап	582
Санскрит	sa	san	san	сан	581
Сандаве	—	sad	sad	сад	580
Санго	sg	sag	sag	саг	579
Самоанский	sm	smo	smo	смо	578
Самаритянский арамейский	—	sam	sam	сам	577
Саамский	—	smi	smi	саа	575
Русский	ru	rus	rus	рус	570
Рунди	rn	run	run	рун	567
Румынский	ro	ron/rum	ron	рум	565
Ретороманский	rm	roh	roh	рет	560
Раротонга	—	rar	rar	рар	557
Разных семей языки	—	mul	mul	мул	556
Раджастхани	—	raj	raj	рад	555
Пушту	ps	pus	pus	пуш	550
Португальский	pt	por	por	пор	545
Понапе	—	pon	pon	пон	542
Польский	pl	pol	pol	пол	540
Пехлевийский	—	pal	pal	пех	537
Персидский	fa	fas/per	fas	пер	535
Папьяменто	—	pap	pap	пап	533
Пенджабский	pa	pan	pan	пан	530
Пангасинан	—	pag	pag	паг	529
Пампанга	—	pam	pam	пам	528
Пали	pi	pli	pli	пли	527
Палау	—	pau	pau	пал	526
Осетинский	os	oss	oss	ост	524
Оседжи	—	osa	osa	осе	523
Оромо	om	orm	orm	орм	522
Ория	or	ori	ori	ори	520
Окситанский	oc	oci	oci	окс	517
Оджибве	oj	oji	oji	одж	515
Нюнорск (новонорвежский)	nn	nno	nno	нно	513
Ньянколе	—	nyn	nyn	нья	512
Ньянджа	ny	nya	nya	нян	510
Ньямвези	—	nym	nym	ням	509
Ньоро	—	nyo	nyo	ньо	508
Норвежский	no	nor	nor	нор	506
Ногайский	—	nog	nog	ног	505
Ниуэ	—	niu	niu	ниу	498
Нидерландский средневековый	—	dum	dum	нис	496
Нидерландский (Голландский)	nl	dut/nld	nld	нид	495
Нивхский (гиляцкий)	—	—	niv	нив	490
Нзима	—	nzi	nzi	нзи	487
Непальский	ne	nep	nep	неп	485
Ненецкий (юрако-самоедский)	—	—	yrk	нен	482
Немецкий	de	deu/ger	deu	нем	481
Неидентифицированный	—	und	und	унд	480
Неварский	—	new	new	нев	478
Ндунга	ng	ndo	ndo	нду	475
Ндебеле южный	nr	nbl	nbl	нбл	474
Ндебеле северный	nd	nde	nde	нде	473
Науру	na	nau	nau	нау	472
Нанайский (гольдский)	—	—	gld	нан	471
Навахо	nv	nav	nav	нав	470
Мэнский (Мэнкский)	gv	glv	glv	мэн	469
Мохаук	—	moh	moh	мох	467
Мооре	—	mos	mos	мос	466
Монгольский	mn	mon	mon	мон	463
Монго	—	lol	lol	мог	462
Молдавский	—	—	—	мол	460
Мокшанский	—	mdf	mdf	мок	455
Минангкабау	—	min	min	мин	453
Микмак	—	mic	mic	мик	452
Менде	—	men	men	мен	451
Масаи	—	mas	mas	мас	447
Маршалльский	mh	mah	mah	маш	446
Марийский (черемисский)	—	chm	chm	мач	445
Марвари	—	mwr	mwr	мвр	443
Маратхи	mr	mar	mar	мар	440
Маори	mi	mao/mri	mri	мао	437
Мансийский (Вогульский)	—	—	mns	ман	435
